Timestamp,Employee or entrepreneur,Have you switched from employment to entrepreneurship or vice versa after 1.10.2023?,Age,Gender,Relevant work experience from the industry (in years),Education,Change in income from last year (in %),How many years have you worked as an entrepreneur in this industry?,What services do you offer?,"Hourly rate (VAT 0%, in euros)","Yearly billing (VAT 0%, in euros)",Do you use agencies or find your clients yourself?,Where are your clients from?,Company,In which city is your office?,What kind of a company you work in?,Full time / part time,How much of your work time you spend in company office? (in %),Role / title,"Monthly salary (gross, in EUR)","Yearly income (incl. bonuses, etc; in EUR)",Free description of your compensation model,Is your salary competitive?,What was left unasked that you want to answer to?,Feedback of the survey
14/10/2024 12:57:31,Employee,"Yes, from entrepreneur to employee",31-35,Male,12.0,Bachelor,,,,,,,,Vaisala,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,50.0,devops,5800.0,75000.0,,No,,
14/10/2024 15:00:09,Employee,"Yes, from entrepreneur to employee",26-30,Male,9.0,Master's in Information Technologies,,,,,,,,,"Capital region (Helsinki, Espoo, Vantaa)",Consulting,100.0,0.0,Full stack developer,1700.0,20000.0,,No,,
15/10/2024 16:07:58,Employee,No,36-40,Male presenting,7.0,PhD CompSci,1.0,,,,,,,RELEX solutions,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,99.0,Senior Engineering Manager,6200.0,,,No,,
15/10/2024 16:09:21,Employee,No,31-35,female,4.0,BBA in Business Information Technology,6.0,,,,,,,RELEX Solutions,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,10.0,Frontend Software Developer,4840.0,58500.0,,No,,
15/10/2024 16:11:12,Employee,No,26-30,female,6.0,AMK IT engineer,8.0,,,,,,,Wolt,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,0.0,Software Engineer,5300.0,78000.0,Stocks,Yes,,
15/10/2024 16:26:06,Employee,No,36-40,Female,9.0,Master's degree in computer science,3.3,,,,,,,Relex Solutions,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,20.0,senior frontend developer,5690.0,74000.0,,Yes,,
15/10/2024 16:35:51,Employee,No,26-30,man,3.0,Master of Science Tech,11.0,,,,,,,,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,40.0,senior developer,5100.0,61200.0,,Yes,,
15/10/2024 16:58:07,Employee,No,36-40,Male,13.0,Master degree,3.0,,,,,,,,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,50.0,Engineering Manager,5790.0,72000.0,,"Yes, but it might be higher considering the role.",,
15/10/2024 17:16:23,Employee,No,36-40,Male,14.0,Bachelor of Engineering IT,2.5,,,,,,,RELEX,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,5.0,Senior Software Engineer,5700.0,70000.0,% of 2 weeks pay based on company performance annually,Yes,,
15/10/2024 19:21:52,Employee,No,31-35,Female,12.0,Bachelors Degree in IT,3.75,,,,,,,,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,10.0,Senior Engineering Manager,6350.0,750.0,,Yes,,
16/10/2024 09:44:47,Employee,No,26-30,woman,7.0,No technical education,7.0,,,,,,,Wolt,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,80.0,Backend engineer,9000.0,112000.0,Quite large % of salary as stocks,Yes,,
16/10/2024 10:12:14,Employee,No,41-45,male,15.0,,2.0,,,,,,,,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,5.0,Software Chief Architect,7150.0,90000.0,Bi-Annual bonuses per team,Yes,,
16/10/2024 10:12:50,Employee,No,36-40,Mail,10.0,Computer Science BS,4.2,,,,,,,RELEX Solutions,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,10.0,Software Developer,6600.0,81000.0,,No,,
16/10/2024 10:24:12,Employee,,31-35,Female,9.0,Haaga-Helia AMK,,,,,,,,Relex Solutions Oy,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,5.0,Software Engineer,5670.0,,,Yes,,
16/10/2024 10:36:48,Employee,No,36-40,,8.0,,10.0,,,,,,,,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,0.0,software developer,7400.0,92500.0,,Yes,,
16/10/2024 10:52:00,Employee,No,36-40,Male,10.0,Master degree,3.0,,,,,,,,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,10.0,Web frontend engineer,6900.0,,RSU,No,,
16/10/2024 13:54:06,Employee,No,21-25,,5.0,BSc maths and computer science,5.0,,,,,,,,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,5.0,senior software developer,5200.0,67600.0,,Unknown,,
16/10/2024 23:15:38,Employee,No,46-50,M,19.0,Beta science M.Sc.,7.0,,,,,,,,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,5.0,service delivery manager,4566.0,58900.0,Group level bonus 20% of 1 month salary,No,,
21/10/2024 09:26:02,Employee,No,36-40,yes,10.0,AMK,0.0,,,,,,,Sanoma Oyj,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,30.0,iOS native developer,6300.0,80000.0,yearly optional perf bonus,,,
22/10/2024 13:21:01,Employee,No,31-35,Female,9.0,IT-Tradenomi,-30.0,,,,,,,Mavericks/Witted,"Capital region (Helsinki, Espoo, Vantaa)",Consulting,100.0,10.0,Senior Mobile Developer,1890.0,62680.0,Commission-based salary,No,,Could not add a minus in the percentage of salary change in the first page.
23/10/2024 11:52:14,Employee,No,21-25,Male,2.0,Bachelor of Science. Soon Master of Science,10.0,,,,,,,,Tampere,Consulting,100.0,0.0,Data Engineer,3900.0,47200.0,,No,,
23/10/2024 11:59:42,Entrepreneur,No,31-35,Male,14.0,BSc,0.0,7.0,"Full-stack, AI, DevOps, architecture, cloud engineering, machine laerning",95.0,110000.0,Company sales team.,Finland,,,,,,,,,,,,
23/10/2024 11:59:44,Employee,No,31-35,Male,7.0,University - Computer Science,0.0,,,,,,,,Tampere,Consulting,100.0,90.0,Fullstack developer,5800.0,70000.0,Base pay plus commission on billable hours,Yes,,
23/10/2024 13:45:10,Employee,No,26-30,Male,3.0,Master of Science,5.0,,,,,,,,Tampere,Consulting,100.0,90.0,Software developer,4670.0,55000.0,Base salary + bonus per billable hour (consultancy),"Yes, when working full time on a customer project, otherwise below average",,
23/10/2024 15:12:48,Employee,No,26-30,Male,3.0,Master of Science in Biomedical Engineering,5.0,,,,,,,Veracell Oy,Tampere,Consulting,100.0,90.0,Data Engineer,4700.0,58000.0,Base monthly salary plus a provision part that is a fixed sum per billed working hour. The majority of the compensation comes from the base salary.,Yes,,
25/10/2024 17:35:11,Employee,No,31-35,Nainen,4.5,Amk (insinööri),0.0,,,,,,,Roima Intelligence,"Capital region (Helsinki, Espoo, Vantaa)",Product company with software as their core business,100.0,0.0,Software developer,3700.0,,,No,,
