Timestamp,Oletko palkansaaja vai laskuttaja?,Oletko siirtynyt palkansaajasta laskuttajaksi tai päinvastoin 1.10.2023 jälkeen?,Ikä,Sukupuoli,Työkokemus alalta (vuosina),Koulutustaustasi,Tulojen muutos viime vuodesta (%),Montako vuotta olet tehnyt laskuttavaa työtä alalla?,Mitä palveluja tarjoat?,"Tuntilaskutus (ALV 0%, euroina)","Vuosilaskutus (ALV 0%, euroina)",Hankitko asiakkaasi itse suoraan vai käytätkö välitysfirmojen palveluita?,Mistä asiakkaat ovat?,Työpaikka,Missä kaupungissa työpaikkasi pääasiallinen toimisto sijaitsee?,Millaisessa yrityksessä työskentelet?,Työaika,Kuinka suuren osan ajasta teet lähityönä toimistolla?,Rooli / titteli,"Kuukausipalkka (brutto, euroina)","Vuositulot (sis. bonukset, osingot yms, euroina)",Vapaa kuvaus kokonaiskompensaatiomallista,Onko palkkasi nykyroolissasi mielestäsi kilpailukykyinen?,Vapaa sana,Palautetta kyselystä ja ideoita ensi vuoden kyselyyn
07/10/2024 10:15:48,Palkansaaja,En,26-30,Mies,8.0,AMK insinööri,2.0,,,,,,,,Jyväskylä,"Tuotetalossa, jonka core-bisnes on softa",80.0,80.0,"Mobile development with React Native, Web frontend with React",4529.6,55000.0,Lisäksi (tod näk arvottomia) optioita,Kyllä,,Harmaa seuraava-nappi näyttää disabloidulta 😁 
07/10/2024 10:16:19,Palkansaaja,En,36-40,Mies,11.0,Ylioppilas,0.0,,,,,,,Compile Oy,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,0.0,Software Architect,7600.0,97000.0,Provisiopalkkaus,Kyllä,,
07/10/2024 10:16:37,Palkansaaja,En,26-30,Mies,6.0,"Luonnontieteiden kandidaatti, tietojenkäsittelytiede (tietotekniikka)",4.39,,,,,,,Gofore,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,90.0,Lead Developer,4193.0,52412.0,,Ei,,
07/10/2024 10:18:16,Palkansaaja,En,41-45,Mies,19.0,Ammattikorkeakoulu,0.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,20.0,Full stack developer,7250.0,91000.0,Provisio ja laskutusbonus,Kyllä,,
07/10/2024 10:18:53,Laskuttaja,"Kyllä, palkansaajasta laskuttajaksi",41-45,mies,22.0,FM,,1.0,"arkkitehtuuri, full stack",100.0,180000.0,"Itse, Käytän välitysfirmoja","Suomesta, Ulkomailta",,,,,,,,,,,,
07/10/2024 10:19:26,Palkansaaja,En,31-35,Mies,15.0,AMK Insinööri,0.0,,,,,,,-,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,0.0,Tunkkaaja,8000.0,96000.0,Ilmaista kahvia saa toimistolta + jumppa,Kyllä,,
07/10/2024 10:19:37,Palkansaaja,En,31-35,mies,8.0,TKT Maisteri,0.0,,,,,,,Mavericks,Turku,Konsulttitalossa,100.0,0.0,Lead developer - fullstack,7200.0,88000.0,,Kyllä,,
07/10/2024 10:22:34,Palkansaaja,En,31-35,Mies,3.0,Tieto- ja viestintätekniikan insinööri,3.0,,,,,,,Huld Oy,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,20.0,Mobile developer,3855.0,,,Ei,Penkki pelottaa,
07/10/2024 10:24:50,Palkansaaja,En,26-30,mies,3.0,tietojenkäsittelytieteen kandidaatti,0.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)","Tuotetalossa, jonka core-bisnes on softa",100.0,0.0,Software Engineer,5500.0,70000.0,,Kyllä,,
07/10/2024 10:27:19,Palkansaaja,En,31-35,Mies,14.0,AMK,2.0,,,,,,,Tilastokeskus,"PK-Seutu (Helsinki, Espoo, Vantaa)",Julkinen tai kolmas sektori,97.0,20.0,Software Engineer Devops painotuksella,4480.0,56000.0,Lomaraha,Ei,,
07/10/2024 10:27:53,Palkansaaja,En,31-35,Mies,13.0,"Diplomi-insinööri, tuotantotalous",4.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)","Tuotetalossa, jonka core-bisnes on softa",100.0,60.0,Technical Product Manager,6300.0,4000.0,,Kyllä,,
07/10/2024 10:29:01,Palkansaaja,En,36-40,Mies,15.0,Diplomi-insinööri,0.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)","Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",100.0,10.0,Cloud architect,6500.0,7000.0,,Kyllä,,
07/10/2024 10:29:30,Palkansaaja,En,31-35,Mies,11.0,Diplomi-insinööri,0.0,,,,,,,Crowd Collective,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,20.0,Full stack developer,6570.0,82125.0,Kiinteä kuukausipalkka,Kyllä,,
07/10/2024 10:30:59,Palkansaaja,En,26-30,Mies,7.0,Tietotekniikan dippa-inssi Aallosta,8.4,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,80.0,20.0,Software Developer,4400.0,57200.0,Kiinteä palkka + kiinteäksi konvertoitu bonus,Kyllä,,
07/10/2024 10:31:48,Palkansaaja,En,36-40,Mies,11.0,Kandi,6.0,,,,,,,Mirantis,"PK-Seutu (Helsinki, Espoo, Vantaa)","Tuotetalossa, jonka core-bisnes on softa",100.0,1.0,Engineering Manager,10000.0,125000.0,Kuukausipalkka + optiot.,Kyllä,,
07/10/2024 10:32:09,Palkansaaja,En,36-40,mies,15.0,Insinööri (AMK),7.5,,,,,,,UpCloud,"PK-Seutu (Helsinki, Espoo, Vantaa)","Tuotetalossa, jonka core-bisnes on softa",100.0,0.1,IaaS R&D architect,9411.0,,,Kyllä,,
07/10/2024 10:33:26,Palkansaaja,En,31-35,Nainen,6.0,Tradenomi AMK,0.0,,,,,,,,Tampere,Konsulttitalossa,100.0,5.0,Dynamics Senior Consultant,5200.0,62000.0,,Kyllä,,
07/10/2024 10:39:35,Palkansaaja,En,41-45,Mies,20.0,"Ylempi korkeakoulututkinto, Tietojenkäsittelytiede",0.0,,,,,,,,Oulu,"Tuotetalossa, jonka core-bisnes on softa",100.0,0.0,Solutions Architect,9700.0,,150000,Kyllä,,
07/10/2024 10:45:42,Palkansaaja,En,41-45,MIES,20.0,luonnontieteiden kandidaatti,0.0,,,,,,,,Tampere,Konsulttitalossa,100.0,10.0,"Senior software engineer, fullstack-kehittäjä (Angular/Java)",8400.0,110000.0,50% laskutuksesta,Kyllä,,
07/10/2024 10:45:51,Palkansaaja,En,31-35,Mies,10.0,Tohtori,10.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,10.0,Lead AI Engineer,8000.0,104000.0,Osakeosto-oikeus nimellishinnalla,Kyllä,,
07/10/2024 10:49:35,Palkansaaja,"Kyllä, laskuttajasta palkansaajaksi",26-30,mies,5.75,tietojenkäsittelytieteen kandidaatti,3.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,100.0,Full stack software developer,5460.0,73000.0,,Ei,,
07/10/2024 10:52:14,Laskuttaja,En,31-35,äiä,10.0,AMK ei-IT alalta,10.0,2.5,"backend, devops, yleisempää käsienheiluttelua ja speksaushommaa",98.0,140000.0,"Itse, Käytän välitysfirmoja",Suomesta,,,,,,,,,,,,
07/10/2024 10:52:42,Palkansaaja,En,36-40,nainen,7.0,filosofian ylioppilas,0.0,,,,,,,,Turku,Konsulttitalossa,100.0,80.0,Johtaja,5800.0,500.0,,Ei,,
07/10/2024 10:53:35,Palkansaaja,En,31-35,Mies,9.0,FM,2.0,,,,,,,Vincit,Tampere,Konsulttitalossa,100.0,0.0,Fullstack developer w/ frontend focus (eli react-koodari),4700.0,62400.0,Peruspalkka + bonus firman tuloksen mukaan,Ei,,
07/10/2024 10:54:13,Palkansaaja,En,15-20,Mies,3.0,TKT kandi,3.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)","Tuotetalossa, jonka core-bisnes on softa",100.0,0.0,Software Engineer,4050.0,70000.0,Osakkeita,Kyllä,,
07/10/2024 10:56:25,Palkansaaja,En,41-45,mies,21.0,DI,7.0,,,,,,,61N,Tampere,Konsulttitalossa,100.0,100.0,Senior Software Engineer,5930.0,71800.0,,Kyllä,,
07/10/2024 10:57:28,Palkansaaja,En,36-40,nainen,15.0,"Diplomi-insinööri, tietotekniikka",0.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)","Tuotetalossa, jonka core-bisnes on softa",100.0,40.0,"Fullstack developer (angular web, flutter mobile, nodejs backend)",6500.0,78000.0,"perus optio-ohjelma, mutta alkuvaiheen startupissa en laskisi sitä tuloksi :D ",Kyllä,,
07/10/2024 10:57:38,Palkansaaja,En,31-35,Mies,4.0,Lukio,29.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)","Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",100.0,1.0,Tech Lead,6070.0,76000.0,,Kyllä,,
07/10/2024 10:58:24,Palkansaaja,En,36-40,Mies,15.0,AMK,0.0,,,,,,,,,,100.0,0.0,Manager,6000.0,75000.0,,Kyllä,,
07/10/2024 10:58:31,Palkansaaja,En,26-30,Mies,10.0,Mediaassistentti,7.14,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,5.0,"Senior Developer, complex solutions & integrations",4500.0,56000.0,,Kyllä,,
07/10/2024 10:59:51,Palkansaaja,En,26-30,Mies,5.0,DI,32.0,,,,,,,Vincit,Tampere,Konsulttitalossa,100.0,5.0,Cloud Developer,5600.0,71000.0,,Kyllä,,
07/10/2024 11:10:37,Palkansaaja,En,26-30,Mies,6.0,"DI, Ohjelmistotekniikka, Turun yliopisto",-14.5,,,,,,,Arado,Turku,Konsulttitalossa,100.0,50.0,Full-stack Developer,6300.0,78750.0,Bruttopalkka on joko 50% laskutuksesta tai 4000€,Kyllä,,
07/10/2024 11:11:20,Palkansaaja,En,36-40,,10.0,Kauppatieteiden maisteri ,2.5,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)",Julkinen tai kolmas sektori,100.0,95.0,Tietoturva-asiantuntija,5700.0,71800.0,,Kyllä,,
07/10/2024 11:12:48,Palkansaaja,En,26-30,Mies,4.0,AMK,14.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)","Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",100.0,0.0,Software Developer,5700.0,72000.0,Bonukset kerran vuoteen,Kyllä,,
07/10/2024 11:16:06,Palkansaaja,En,46-50,Mies,20.0,"Diplomi-insinööri, tietoliikennetekniikka",8.0,,,,,,,Kone,"PK-Seutu (Helsinki, Espoo, Vantaa)","Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",100.0,10.0,Senior Cloud Engineer,6830.0,100000.0,"autoetu, isohko vuotuinen bonus",Kyllä,,
07/10/2024 11:18:44,Palkansaaja,En,31-35,Mies,10.0,Datanomi,9.5,,,,,,,Vincit,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,10.0,Full stack developer,4970.0,62250.0,,Ei,,
07/10/2024 11:31:41,Palkansaaja,En,31-35,mies,10.0,AMK,4.0,,,,,,,Polar Squad Oy,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,10.0,DevOps Consultant,6000.0,75000.0,"Kiinteä kuukausipalkka, epäsäännöllinen mahdollisuus osakkeisiin",Kyllä,,
07/10/2024 11:33:59,Palkansaaja,En,26-30,Mies,5.0,Tietojenkäsittelytieteen maisteri,0.0,,,,,,,,Tampere,Konsulttitalossa,100.0,0.0,Full stack developer,4700.0,,,Kyllä,,
07/10/2024 11:37:47,Palkansaaja,En,36-40,mies,7.0,,2.5,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)","Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",100.0,30.0,Full stack software engineer,6365.0,79500.0,,Kyllä,"Minulla on luultavasti tällä hetkellä poikkeuksellisen hyvä job fit, eikä esim. Suomesta luultavasti löydy juuri ketään minua paremmin tähän työnkuvaan sopivaa henkilöä.","Olisin laittanut kuukausipalkka kysymyksen ennen kysymystä palkan muutoksesta, se olisi tuntunut loogisemmalta."
07/10/2024 11:46:42,Palkansaaja,En,31-35,Mies,2.0,IT-tradenomi,20.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)","Yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",100.0,5.0,Software Developer,3800.0,48000.0,,Ei,,
07/10/2024 11:48:12,Palkansaaja,En,26-30,mies,7.0,ammattikoulu,13.0,,,,,,,,Turku,"Tuotetalossa, jonka core-bisnes on softa",100.0,95.0,software developer,5300.0,63600.0,,Kyllä,,
07/10/2024 11:49:26,Palkansaaja,En,36-40,mies,13.0,Tietotekniikan diplomi-insinööri,1.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,20.0,Senior Fullstack Consultant,6260.0,80000.0,,Kyllä,,
07/10/2024 11:50:58,Palkansaaja,En,41-45,Mies,24.0,DI,3.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)","Tuotetalossa, jonka core-bisnes on softa",100.0,,2,2.0,7000.0,,Kyllä,,
07/10/2024 11:51:00,Palkansaaja,En,46-50,Mies,26.0,Tradenomi,,,,,,,,,Tampere,Konsulttitalossa,100.0,30.0,Pilviarkkitehti,7400.0,93000.0,,Kyllä,,
07/10/2024 11:53:07,Palkansaaja,En,36-40,Mies,4.0,Lukio,0.0,,,,,,,,Turku,Konsulttitalossa,100.0,95.0,UX Designer,4200.0,50400.0,,Ei,,
07/10/2024 11:57:35,Palkansaaja,En,26-30,Mies,9.0,Msc,3.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)","Tuotetalossa, jonka core-bisnes on softa",100.0,40.0,Software Engineer,5800.0,70000.0,,Kyllä,,
07/10/2024 12:04:19,Palkansaaja,En,26-30,Mies,2.8,Ylempi korkeakoulututkinto,1.4,,,,,,,Solita,Turku,Konsulttitalossa,100.0,20.0,Software Designer,3751.0,47000.0,,Ei,,
07/10/2024 12:10:17,Palkansaaja,En,26-30,mies,2.0,luonnontieteiden kandidaatti,2.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)",Julkinen tai kolmas sektori,50.0,50.0,Full stack developer,2405.0,,,Ei,,
07/10/2024 12:11:09,Palkansaaja,En,41-45,,6.0,TKT kandi,1.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)","Tuotetalossa, jonka core-bisnes on softa",100.0,40.0,scrum master,4770.0,60000.0,,Ei,,
07/10/2024 12:16:33,Laskuttaja,En,36-40,mies,14.0,"FM, tietojenkäsittelytiede",0.0,10.0,mobiili,85.0,140000.0,"Itse, Käytän välitysfirmoja","Suomesta, Ulkomailta",,,,,,,,,,,,
07/10/2024 12:16:55,Palkansaaja,En,36-40,Mies,13.0,IT-Tradenomi,,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)",Digitoimisto,100.0,10.0,Lead Developer,4950.0,,,Ei,,
07/10/2024 12:18:11,Palkansaaja,En,41-45,Mies,14.0,Maisteri,3.0,,,,,,,,Tampere,Konsulttitalossa,100.0,0.0,Backend developer,7800.0,100000.0,,Kyllä,,
07/10/2024 12:18:22,Laskuttaja,En,26-30,Mies,8.0,Diplomi-insinööri,0.0,4.0,Full stack,107.0,150000.0,,Suomesta,,,,,,,,,,,,
07/10/2024 12:23:04,Palkansaaja,En,26-30,Mies,4.0,Insinööri (AMK),3.0,,,,,,,,Hyvinkää,Teollisuus,100.0,10.0,"Lead Engineer, Data analytics",4700.0,54000.0,,Ei,,
07/10/2024 12:23:16,Palkansaaja,En,26-30,Mies,5.0,Yliopisto,10.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,75.0,Data Engineer,5500.0,69000.0,"Yrityksen tulokseen perustuva bonus, osakeanti, vapaasti valittava kokonaisuus erilaisia etuja",Kyllä,,
07/10/2024 12:23:30,Laskuttaja,"Kyllä, palkansaajasta laskuttajaksi",41-45,Mies,13.0,peruskoulu,0.0,1.0,full stack,500.0,,Itse,Ulkomailta,,,,,,,,,,,,
07/10/2024 12:32:16,Palkansaaja,En,31-35,äiä,12.0,AMK,0.0,,,,,,,Metacore Games,"PK-Seutu (Helsinki, Espoo, Vantaa)","Tuotetalossa, jonka core-bisnes on softa",100.0,15.0,Platform Engineer,5700.0,90000.0,"optiot per kk, stonks bonuksena","Varmaan sais muualla enemmän palakkaa, mutta stonksit ihan jees.",,
07/10/2024 12:33:43,Palkansaaja,En,36-40,Mies,15.0,,-5.0,,,,,,,,Tampere,Konsulttitalossa,100.0,0.0,Backend developer,5000.0,62500.0,,Ei,,
07/10/2024 12:37:34,Palkansaaja,En,26-30,mies,9.0,tietotekniikan DI,5.0,,,,,,,Yleisradio,"PK-Seutu (Helsinki, Espoo, Vantaa)",Julkinen tai kolmas sektori,100.0,35.0,Developer,5428.0,69000.0,,Kyllä,,
07/10/2024 12:39:25,Palkansaaja,En,36-40,,9.0,FM,8.0,,,,,,,,,"Tuotetalossa, jonka core-bisnes on softa",100.0,0.0,Lead Engineer,7200.0,101600.0,Kuukausipalkka + Bonus,Kyllä,,
07/10/2024 12:40:27,Palkansaaja,En,31-35,,11.0,,3.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,50.0,Senior UX/Product Designer,5450.0,68125.0,Kuukausipalkka + bonus ja osingot voitollisena vuonna,"Samanlaisiin konsulttitaloihin verrattuna about sama, tuotetalossa saisin enemmän",,
07/10/2024 12:40:44,Palkansaaja,En,36-40,mies,7.0,amk-insinööri,0.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)","Tuotetalossa, jonka core-bisnes on softa",100.0,0.0,fullstack,5500.0,68750.0,,Kyllä,,
07/10/2024 12:41:07,Palkansaaja,En,31-35,Mies,8.0,Amis + keskeytetty AMK,37.0,,,,,,,Tietoevry,Turku,,100.0,10.0,Senior Azure Engineer,6300.0,78750.0,,Kyllä,,Hyvä setti kyssäreitä!
07/10/2024 12:55:53,Laskuttaja,En,41-45,mies,23.0,DI,5.0,2.0,Full stack developer,85.0,160000.0,Itse,Ulkomailta,,,,,,,,,,,,Laskutustavan voisi kysyä. Itse laskutan kiinteää kuukausihintaa
07/10/2024 12:57:21,Palkansaaja,En,36-40,Nainen,14.0,Datanomi,14.0,,,,,,,,Tampere,Konsulttitalossa,100.0,20.0,,5900.0,70800.0,,Kyllä,,
07/10/2024 13:14:16,Palkansaaja,En,31-35,Mies,15.0,Insinööri-AMK,3.0,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,20.0,Azure architect,7200.0,100000.0,,Kyllä,,
07/10/2024 13:15:57,Palkansaaja,En,31-35,Mies,15.0,Ylioppilas,20.0,,,,,,,Fennoa Oy,Etätyöfirma,"Tuotetalossa, jonka core-bisnes on softa",100.0,0.0,Senior Software Engineer,5500.0,72.0,"Kiinteä palkka, firman tulokseen sidotut bonarit",Kyllä,,
07/10/2024 13:21:47,Laskuttaja,En,36-40,,17.0,Tradenomi,0.0,6.0,Full stack,85.0,150000.0,"Itse, Käytän välitysfirmoja","Suomesta, Ulkomailta",,,,,,,,,,,,
07/10/2024 13:27:37,Palkansaaja,En,31-35,Mies,7.0,Ylempi korkeakoulututkinto,1.0,,,,,,,Gofore,Jyväskylä,Konsulttitalossa,100.0,100.0,Embedded software developer,4800.0,60600.0,Vuosibonus,Kyllä,,
07/10/2024 13:36:01,Laskuttaja,En,46-50,Miesoletettu,25.0,,2.0,11.0,"Product owner, Solution analyst",84.0,,Käytän välitysfirmoja,Suomesta,,,,,,,,,,,,"Hinnat saattavat vaihdella asiakassektoreittain, joten niiden erottwleminen voisi olla aiherllista."
07/10/2024 13:38:34,Palkansaaja,,31-35,Mies,7.0,"Insinööri (AMK), tietotekniikka",2.5,,,,,,,,"PK-Seutu (Helsinki, Espoo, Vantaa)",Konsulttitalossa,100.0,5.0,Senior fullstack developer,5500.0,71600.0,,Kyllä,,
07/10/2024 13:42:59,Palkansaaja,En,31-35,nainen,8.0,lukio,0.0,,,,,,,redandblue,"PK-Seutu (Helsinki, Espoo, Vantaa)","Tuotetalossa, jonka core-bisnes on softa",100.0,3.0,Web Developer,3900.0,46800.0,,Kyllä,,
